  four9one && 491, 4 1 -> 41
ℹ️  bbzhsmnmtf8kftwosevenxfkssgrcjthree && bbzhsmnmtf8kf27xfkssgrcj3, 8 3 -> 83
ℹ️  6pkkcddsixsixjgnjvdtjtwo && 6pkkcdd66jgnjvdtj2, 6 2 -> 62
ℹ️  4four45seven7nine7two && 444577972, 4 2 -> 42
ℹ️  rcssix4 && rcs64, 6 4 -> 64
ℹ️  thfjtb56c && thfjtb56c, 5 6 -> 56
ℹ️  kkdhmmvvmthreezxqzqmb4khprbldcr && kkdhmmvvm3zxqzqmb4khprbldcr, 3 4 -> 34
ℹ️  65bnhfgcgfxgqflblvjdhhtvzpfoureightfive && 65bnhfgcgfxgqflblvjdhhtvzp485, 6 5 -> 65
ℹ️  8eightvdj && 88vdj, 8 8 -> 88
ℹ️  h61gjgfhrgndb725 && h61gjgfhrgndb725, 6 5 -> 65
ℹ️  7rzm2five && 7rzm25, 7 5 -> 75
ℹ️  9167ddtxjpxb6 && 9167ddtxjpxb6, 9 6 -> 96
ℹ️  4nine36knlfjmdgfourdmczsxv && 4936knlfjmdg4dmczsxv, 4 4 -> 44
ℹ️  ljnff279 && ljnff279, 2 9 -> 29
ℹ️  nineeightsixzsfiveseven1jqnxbhhd && 986zs571jqnxbhhd, 9 1 -> 91
ℹ️  jptwoeight6fourfrbpgsmkgl && jp2864frbpgsmkgl, 2 4 -> 24
ℹ️  znfqfjcspf8md && znfqfjcspf8md, 8 8 -> 88
ℹ️  sixthree7qzj && 637qzj, 6 7 -> 67
ℹ️  39cfncbzj48two2 && 39cfncbzj4822, 3 2 -> 32
ℹ️  52eight9fivefivesix && 5289556, 5 6 -> 56
ℹ️  26nine && 269, 2 9 -> 29
ℹ️  fsgpvxpqtk2eightlvb1ninebflbsskdbthztgvcl && fsgpvxpqtk28lvb19bflbsskdbthztgvcl, 2 9 -> 29
ℹ️  twoone7ndjxttt && 217ndjxttt, 2 7 -> 27
ℹ️  bpvbv5nzhsfg && bpvbv5nzhsfg, 5 5 -> 55
ℹ️  onethree1kxcxzmvmkxjmtwosix && 131kxcxzmvmkxjm26, 1 6 -> 16
ℹ️  2prfceightdvcjnhzt3lmzfdnvxjgsix1 && 2prfc8dvcjnhzt3lmzfdnvxjg61, 2 1 -> 21
ℹ️  ninefivegnsk5cz2sevenblfmtpqcfr && 95gnsk5cz27blfmtpqcfr, 9 7 -> 97
ℹ️  sixrninehnfggfbxrjm7five && 6r9hnfggfbxrjm75, 6 5 -> 65
ℹ️  qrlmkxckhfournfbfkgdzfqrztjs116 && qrlmkxckh4nfbfkgdzfqrztjs116, 4 6 -> 46
ℹ️  3cf4kbkclqfourseven4 && 3cf4kbkclq474, 3 4 -> 34
ℹ️  ncqt3523two && ncqt35232, 3 2 -> 32
ℹ️  fivevhbfndcqcbthreemg4six && 5vhbfndcqcb3mg46, 5 6 -> 56
ℹ️  7sixfb6 && 76fb6, 7 6 -> 76
ℹ️  sixfourmqqgmbxdgznkdbzdszc9 && 64mqqgmbxdgznkdbzdszc9, 6 9 -> 69
ℹ️  3prcphmzcmt12 && 3prcphmzcmt12, 3 2 -> 32
ℹ️  fourznt9mk && 4znt9mk, 4 9 -> 49
ℹ️  twotwotdnbbbczxv8four && 22tdnbbbczxv84, 2 4 -> 24
ℹ️  12fnqfsevensix && 12fnqf76, 1 6 -> 16
ℹ️  seven96 && 796, 7 6 -> 76
ℹ️  6three6s5 && 636s5, 6 5 -> 65
ℹ️  sixtqqszg6fourzbjhkvlkmnkdztq && 6tqqszg64zbjhkvlkmnkdztq, 6 4 -> 64
ℹ️  two3bqnbxbvhspk && 23bqnbxbvhspk, 2 3 -> 23
ℹ️  flcqsevenlgvtnvnctpfjvrlg65dkdbjn9 && flcq7lgvtnvnctpfjvrlg65dkdbjn9, 7 9 -> 79
ℹ️  threexnddmsxfmtwo31 && 3xnddmsxfm231, 3 1 -> 31
ℹ️  four498 && 4498, 4 8 -> 48
ℹ️  eight5one43nmkxdseight5 && 85143nmkxds85, 8 5 -> 85
ℹ️  1knmbd6 && 1knmbd6, 1 6 -> 16
